NRE No,Owner,Request date.,Item ,Code item,Aplication reason / Area,Operation,Customizer,Brand ,Model,Picture,Status,New or replace,Qty required,Quotation Unit Price (MX),Total amount (MX),MX total + IVA,Amount (USD),Total + IVA USD,Owner approval,MFG approval date,Purchase Format,Status,Arrived date
ZL25040308,Jesus Muro,04/03/2025,FLEXOMETER WIFI,ED4714,All areas,Calibration,Micropresicion,MONOLITHLOT,MIT- 3033,,Approved,Service,1,#REF!,#REF!,#REF!,85,98.6,Liam / Kevin,04/03/2025,Yes,Arrived,05/15/2025
ZL25040309,Jesus Muro,04/03/2025,WIFI SCALE,ED4983,All areas,Calibration,Micropresicion,MONOLITHLOT,MTS-6000Plus,,Approved,Service,1,#REF!,#REF!,#REF!,295,342.2,Liam / Kevin,04/03/2025,Yes,Arrived,05/01/2025
ZL25040401,Jonas Navarro,04/04/2025,Electrical extension,N/A,Warehouse,Maintenance,INKAR,Surtek,"USO
RUDO 10 MT AMARILLO CAL. 16",,Approved,New,1,117.6,117.6,136.416,#REF!,#REF!,Liam / Kevin,04/04/2025,Yes,Arrived,04/04/2025
ZL25040402,Jonas Navarro,04/04/2025,Electric Multicontact ,N/A,Warehouse,Maintenance,INKAR,Urrea," 10
ENTRADAS CABLE 1200 J, 90 CM",,Approved,New,1,236,236,273.76,#REF!,#REF!,Liam / Kevin,04/04/2025,Yes,Arrived,04/04/2025
ZL25040801,Cesar Gutierrez,04/08/2025,"Rocket Sealed Air Equipment
April",N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,1,3000,3000,3480,#REF!,#REF!,Liam / Kevin,04/09/2025,Yes,Arrived,04/10/2025
ZL25041001,Jonas Navarro,04/10/2025,Thermic printer head for TSC MX640P,N/A,POC,Labeling,Etytec,TSC,MX640P,,Cancelled,Replacement,1,21721.9629932376,21721.9629932376,25197.4770721556,#REF!,#REF!,Liam / Kevin,,,Cancelled,
ZL25041002,Jonas Navarro,04/10/2025,Automatic plastic wrapper Sensor diagnostic,N/A,Shipping,Packaging,CYKLOP,CYKLOP,N/A,,Cancelled,Service,1,7322.9699376,7322.9699376,8494.645127616,#REF!,#REF!,Liam / Kevin,,,Cancelled,
ZL25041501,Jonas Navarro,04/15/2025,Cable cutting maintenance,N/A,Cable Cutting,Maintenance,MACI,MACI,N/A,,Approved,Service,1,28650,28650,33234,#REF!,#REF!,Liam / Kevin,04/16/2025,Yes,Arrived,05/28/2025
ZL25042201,Juan Mata,04/21/2025,SSD 960GB,N/A,IT,Maintenance,IKP,Kingston,"A400, 960GB, SATA III, 2.5'', 7mm",,Approved,New,3,1200,3600,4176,#REF!,#REF!,Liam / Kevin,04/22/2025,Yes,Arrived,05/06/2025
ZL25042202,Juan Mata,04/21/2025,SSD 480GB,N/A,IT,Maintenance,IKP,Kingston,"A400, 480GB, SATA III, 2.5'', 7mm",,Approved,New,2,950,1900,2204,#REF!,#REF!,Liam / Kevin,04/22/2025,Yes,Arrived,05/06/2025
ZL25042203,Juan Mata,04/21/2025,SSD 240GB,N/A,IT,Maintenance,IKP,Kingston,"A400, 240GB, SATA III, 2.5'', 7mm",,Approved,New,3,715,2145,2488.2,#REF!,#REF!,Liam / Kevin,04/22/2025,Yes,Arrived,05/06/2025
ZL25042204,Juan Mata,04/21/2025,RAM MEMORY 16GB,N/A,IT,Maintenance,IKP,Kingston,"FURY Impact DDR4, 2666MHz, 16GB, Non-ECC, CL15, SO-DIMM",,Approved,New,3,1015,3045,3532.2,#REF!,#REF!,Liam / Kevin,04/22/2025,Yes,Arrived,05/06/2025
ZL25042205,Juan Mata,04/21/2025,RAM MEMORY 8GB,N/A,IT,Maintenance,IKP,Kingston,"Kingston FURY Beast Black DDR4, 3200MHz, 8GB, CL16, XMP",,Approved,New,2,697,1394,1617.04,#REF!,#REF!,Liam / Kevin,04/22/2025,Yes,Arrived,05/06/2025
ZL25042206,Juan Mata,04/21/2025,Thermal Paste,N/A,IT,Maintenance,IKP,Manhattan,"140065, -30 - 180°C, 20 Gramos",,Approved,New,1,455,455,527.8,#REF!,#REF!,Liam / Kevin,04/22/2025,Yes,Arrived,05/06/2025
ZL25042401,Jesus Muro,04/24/2025,"Tapete Adhesivo
 Desechable,Az,24plAn,PQ4",N/A,ATO,EPA,Grainger,N/A,"e,Az,24plAn,PQ4",,Approved,New,10,2254.5,22545,26152.2,#REF!,1285.65,Liam / Kevin,04/25/2025,Yes,Arrived,05/16/2025
ZL25040201,Juan Mata,05/02/2025 11:09:38,AutoCAD yearly license,N/A,IT,Industrial Eng.,AutoDesk,AutoDesk,LT Annual Licence,,Approved,Replacement,1,6035,6035,7000.6,#REF!,#REF!,Liam / Kevin,05/05/2025,Yes,Arrived,07/16/2025
ZL25040202,Juan Mata,05/02/2025 11:09:38,"Adjustable 19"" Rack Tray",N/A,IT,TI IDF`s,"IKP
[IKP-287017]",Intellinet,"[714389]
1U, up to 45kg, Black",,Approved,New,1,2390,2390,2772.4,#REF!,#REF!,Liam / Kevin,05/05/2025,Yes,Arrived,06/01/2025
ZL25050501,Jonas Navarro,05/05/2025,Ruler spare parts,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,cancelled,New,5,N/A,N/A,N/A,10,50,Liam / Kevin,05/05/2025,Yes,Cancelled,
ZL25051401,Jesus Muro,05/14/2025,Fluke 985 Air Particle Counter,30170,ATO,Service,Micropresicion,Fluke,Fluke 985,,Approved,Service,1,#REF!,12677.776644,14706.22090704,650,754,Liam / Kevin,05/21/2025,Yes,Arrived,08/22/2025
ZL25052101,Cesar Gutierrez,05/21/2025,"Rocket Sealed Air Equipment
May & June",N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,2,3000,6000,6960,#REF!,#REF!,Liam / Kevin,05/22/2025,Yes,Arrived,05/22/2025
ZL25060301,Jonas Navarro,06/03/2025,Digital 6 digit counter,N/A,Cable Cutting,Maintenance,Radio Surtidora,EMKO,EZM-4930,,Approved,Replacement,2,1995.9,3991.8,4630.488,#REF!,#REF!,Liam / Kevin,06/05/2025,Yes,Done,15/08/2025
ZL25053001,Jonas Navarro,05/30/2025,Microfiber sweeper,N/A,ATO,ATO,ULINE,ULINE,-,-,Approved,New,1,1452,1452,1684.32,#REF!,#REF!,Liam / Kevin,06/04/2025,Yes,Arrived,07/01/2025
ZL25053002,Jonas Navarro,05/30/2025,Cleaning Cart,N/A,ATO,ATO,ULINE,ULINE,-,-,Approved,New,1,8140,8140,9442.4,#REF!,#REF!,Liam / Kevin,06/04/2025,Yes,Arrived,07/01/2025
ZL25060302,Jonas Navarro,06/03/2025,Shipping and Handling,N/A,Cable Cutting,Maintenance,Radio Surtidora,EMKO,-,,Approved,Service,1,270,270,313.2,#REF!,#REF!,Liam / Kevin,06/04/2025,Yes,Arrived,07/01/2025
ZL25060601,Jonas Navarro,06/06/2025,TSC MX640P Printer Head,N/A,PE,Maintenance,Grupo Etytec,TSC,MX640P,,Approved,Service,1,20646.32,20646.32,23949.7312,#REF!,#REF!,Liam / Kevin,06/04/2025,Yes,Arrived,07/01/2025
ZL25061001,Jonas Navarro,06/10/2025,Ruler spare parts,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",Monolith Electric,MIT-2033,,Approved,New,5,N/A,N/A,N/A,43.1034482758621,50,Liam / Kevin,06/10/2025,Yes,Arrived,07/01/2025
ZL25061002,Jonas Navarro,06/10/2025,Shipping and Handling,N/A,POC,Maintenance,"Monolith Electric (Changzhou) Co.,Ltd.",,,,Approved,New,1,N/A,N/A,N/A,38.7931034482759,45,Liam / Kevin,06/10/2025,Yes,Arrived,07/01/2025
ZL25061201,Jonas Navarro,06/12/2025,Cable cutting corrective maintenance,N/A,Cable Cutting,Corrective Maintenance,MAKINE,-,-,-,Approved,Service,1,pending,3230,3746.8,#REF!,#REF!,Liam / Kevin,06/12/2025,Yes,Arrived,07/01/2025
ZL25070701,Jesus Muro,07/07/2025,Vernier,DT3968,Calibration,All areas,Micropresicion,MITUTOYO,"CD-8""ASX",-,Approved,Service,1,pending,3230,3746.8,25,29,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070702,Jesus Muro,07/07/2025,Standar Weigth,DU7310,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070703,Jesus Muro,07/07/2025,Standar Weigth,DU7311,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070704,Jesus Muro,07/07/2025,Standar Weigth,DU7312,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070705,Jesus Muro,07/07/2025,Standar Weigth,DU7313,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070706,Jesus Muro,07/07/2025,Standar Weigth,DU7314,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070707,Jesus Muro,07/07/2025,Standar Weigth,DU7315,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070708,Jesus Muro,07/07/2025,Standar Weigth,DU7316,Calibration,Measurement,Microprecision,REMEX,CLASS M2,,Approved,Service,1,751.796172,751.796172,872.083559519999,40,46.4,Liam / Kevin,07/07/2025,Yes,Arrived,09/11/2025
ZL25070709,Jesus Muro,07/07/2025,Scale,EG3412,Calibration,Measurement,Microprecision,Ohaus,Defender T32XW,,Approved,Service,1,3477.0572955,3477.0572955,4033.38646278,185,214.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070710,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070711,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070712,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070713,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070714,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25070715,Jesus Muro,07/07/2025,Sensor H & T ,new,Calibration,Measurement,Microprecision,ASAIR,AM2315C,,Approved,Service,1,1597.5668655,1597.5668655,1853.17756398,85,98.6,Liam / Kevin,07/07/2025,Yes,Arrived,08/07/2025
ZL25071101,Juan Mata,07/11/2025,Hub USB 3.0 ,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",UGREEN,"Macho - 3x USB 3.0, 1x RJ-45, 1x Micro USB 2.0, 625Mbit/s, Gris",,Approved,New,5,521.59,2607.95,3025.222,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071102,Juan Mata,07/11/2025,Adaptador HDMI,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",Manhattan,"Macho - VGA Hembra, 22cm, Negro",,Approved,New,5,124.92,624.6,724.536,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071103,Juan Mata,07/11/2025,SSD,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",Kingston,"A400, 960GB, SATA III, 2.5'', 7mm",,Approved,New,5,1079.32,5396.6,6260.056,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071104,Juan Mata,07/11/2025,RAM,N/A,Improve older laptops performance,Laptops Users,"INNTELCO
JES-XINYA25-011",Kingston,"Memoria RAM Kingston FURY Impact DDR4, 3200MHz, 16GB, Non-ECC, CL20, SO-DIMM, XMP",,Approved,New,5,1227.86,6139.3,7121.588,#REF!,#REF!,Liam / Kevin,07/11/2025,Yes,Arrived,07/25/2025
ZL25071501,Jonas Navarro,07/15/2025,Maintenance Corner cutting machine,N/A,POC,Maintenance,MAKINE,-,-,,Approved,Service,1,14238,14238,16516.08,#REF!,#REF!,Liam / Kevin,07/15/2025,Yes,Arrived,09/01/2025
ZL25071801,Cesar Gutierrez,07/18/2025,Toner for laser printer,N/A,Production,Maintenance,IKP,Interkey,TN920XL,,Approved,Pcs,10,1920,19200,22272,#REF!,#REF!,Liam / Kevin,07/18/2025,Yes,Arrived,07/29/2026
ZL25071802,Cesar Gutierrez,07/18/2025,Original Unit drum for laser printer,N/A,Production,Maintenance,INNTELCO,Brother,DR920,,Approved,Pcs,5,2932.92,14664.6,17010.936,#REF!,#REF!,Liam / Kevin,07/18/2025,Yes,Arrived,07/28/2025
ZL25080401,Cesar Gutierrez,08/04/2025,"Rocket Sealed Air Equipment
July & August",N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,2,3000,6000,6960,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,08/01/2025
ZL25080402,Cesar Gutierrez,08/04/2025,Cotton cleaner for ONT,N/A,ATO,ONT,OKNALB,N/A,hisopos co2,,Approved,Pcs,2,377,754,874.64,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,08/20/2025
ZL25080403,Cesar Gutierrez,08/04/2025,Optical fiber cleaning kit,N/A,ATO,ONT,OKNALB,N/A,Generic,,Approved,Pcs,1,879,879,1019.64,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,10/15/2025
ZL25080404,Jonas Navarro,08/04/2025,Aluminum Lifter maintenance,N/A,ATO,Maintenance,PSS,N/A,N/A,,Approved,Service,1,4675,4675,5423,#REF!,#REF!,Liam / Kevin,08/04/2025,Yes,Arrived,08/22/2025
